titulo,descripcion,precio_usd,url,latitud,longitud,zona,tipo_propiedad,proveedor_datos,codigo_proveedor,coordenadas_validas
Oportunidad de inversión.Terreno en Venta Tarope. Vía Cotoca TASA OFICIAL,"Atención inversionistas y urbanizadores. Terreno en Venta en TAROPE. A sólo 6 minutos de la carretera SCZ Cotoca. Sup: 16.852 m2 70 metros de frente Acceso PAVIMENTADO Zona consolidada Construcción existente: Oficina, casa de casero con baño, galpón cerrado de      m2 Pozo de agua con tanque de 1.500",297000.0,https://www.bieninmuebles.com.bo/property.php?id=4787,-17.763756285082817,-63.0203963685615,"Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Zona Tranquila",,excel_raw_local,2025.08.15 05.xlsx,True
Casa Lazareto,"- Venta de Casa en Barrio Lazareto - Av. Virgen de Cotoca entre 2do y   3er Anillo - Precio: $200,000 USD (abierto a   ofertas y posibles intercambios) - Terreno: 302,5 m² - Construcción: 522 m² - Ubicación: Barrio Lazareto, entre   2do y 3er Anillo, Santa Cruz de  la Sierra",200000.0,https://www.bieninmuebles.com.bo/property.php?id=4759,-17.7795686680006,-63.158363410709015,"Iglesia Cerca, Gimnasio Cercano, Supermercado Cerca, Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Plaza Cercana, Comercio Cercano, Zona Tranquila, Zona Concurrida, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
HERMOSA CASA EN VENTA AMOBLADA,"HERMOSA CASA EN VENTA completamente amoblada 3 dormitorios 1 en suite  1 boño de visitas  Cocina con cajoneria alta y baja incluye. Cocina de 6 hornallas microondas vajillas heladera etc. Sala comedor : incluye  Mesa sillas  Sofa estantes,television equipo de sonido",80000.0,https://www.bieninmuebles.com.bo/property.php?id=4653,-17.766792338922503,-63.06564331054688,"Iglesia Cerca, Gimnasio Cercano, Aeropuerto Cerca, Supermercado Cerca, Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Plaza Cercana, Centro Historico, Comercio Cercano, Zona Tranquila, Zona Concurrida, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
CASA EN VENTA,"A solo 3 cuadras de la Av. Guapilo, detrás del Jardín Botánico Transporte público a 1 cuadra (líneas 9, 43, 98)  CARACTERÍSTICAS: Terreno: 280 m² Construcción: 110 m²",96500.0,https://www.bieninmuebles.com.bo/property.php?id=4659,-17.792570570052874,-63.09807122804904,"Transporte Publico Cerca, Zona Tranquila, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
Hermosa Casa en Venta,???? ????????? ?? ????? ? Zona Norte: 5to y 6to Anillo cerca a la UCEBOL ??????????  ?Terreno: 360m² ?Construcción: 319.03 m² ?????? ???? - Living y comedor amplio - ?Baño de visita - ?Cocina - ?4 dormitorios amplios 1 en suite  - ?Lavandería  - Depósito,270000.0,https://www.bieninmuebles.com.bo/property.php?id=4613,-17.731731879127288,-63.17527014191963,"Gimnasio Cercano, Supermercado Cerca, Colegio Cerca",,excel_raw_local,2025.08.15 05.xlsx,True
HERMOSA CASA EN VENTA ZONA NORTE EN LA MEJOR UBICACIÓN DE SANTA CRUZ,EN CONDOMINIO CERRADO DE 11 CASAS DE DOS PLANTAS Planta Baja Cocina amoblada con Depósito Living Comedor con A/C Galería Cerrada con Blindex y A/C Jardín interior  1 Habitación para uso múltiple 2do piso 1 Master Suite con 2 Vestidores 2 Habitaciones con baño compartido 1 Habitación para Uso Multiple,235000.0,https://www.bieninmuebles.com.bo/property.php?id=3667,-17.737548403524496,-63.1798913422177,"Iglesia Cerca, Gimnasio Cercano, Aeropuerto Cerca, Supermercado Cerca, Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Plaza Cercana, Comercio Cercano, Zona Tranquila, Zona Concurrida, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
CASA EN VENTA,PLANTA BAJA 9 Dormitorios 2 tiendas 3 baños cocina con gas domiciliario lavanderia garaje para 2 vehículos  PLANTA ALTA 4 Dormitorios 1 Baño comedor,250000.0,https://www.bieninmuebles.com.bo/property.php?id=4457,-17.78690976935388,-63.215718856045314,,,excel_raw_local,2025.08.15 05.xlsx,True
Casa en Venta,Casa Independiente  de  360 M2 Dos dormitorios  Sala comedor  Cocina cerrada independiente y amplia Galería Jardines  Portón Cerrada teja colonial,65000.0,https://www.bieninmuebles.com.bo/property.php?id=4761,-17.78271094843412,-63.18052827376994,"Iglesia Cerca, Gimnasio Cercano, Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Plaza Cercana, Zona Tranquila, Zona Concurrida, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
Casa en Venta en El Trapiche 3,"Casa en Venta Ubicación: Zona Este Urb. El Trapiche 3 Superficie: - Terreno: 189,53 m2 - Construcción: 110 m2 3 Dormitorios (1 en suite con baño privado) Cocina americana  Patio interno Baño de visitas  Amplio jardín trasero",60000.0,https://www.bieninmuebles.com.bo/property.php?id=4768,-17.759780623097097,-63.06421808855515,"Iglesia Cerca, Supermercado Cerca, Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Plaza Cercana, Comercio Cercano, Zona Tranquila, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
CASA COMERCIAL EN VENTA,3 TIENDAS DE 3 X 5 CON BAÑO PRIVADO 1 TIENDA AMPLIA DE 6 X 5 CON COCINA. INCLUIDA Y MESANINE AMPLIO.  AMPLIO PATIO  DUCHA BAÑO  5 CUARTOS SENCILLOS PARA DAR EN ALQUILER,169999.0,https://www.bieninmuebles.com.bo/property.php?id=4917,-17.78100738406483,-63.20586710233361,"Iglesia Cerca, Gimnasio Cercano, Aeropuerto Cerca, Supermercado Cerca, Transporte Publico Cerca, Colegio Cerca, Hospital Cerca, Plaza Cercana, Centro Historico, Comercio Cercano, Zona Concurrida, Cerca Avenida",,excel_raw_local,2025.08.15 05.xlsx,True
